Preditcted_Index,Preditcted_Failure,Preditcted_Affected_Component_Uid,"	Preditcted_Affected_Component","	Preditcted_Utility_Drop","	Preditcted_Rule",Preditcted_Utility_Increase,CycleID,CycleSize,Preditcted_Index2,Preditcted_Failure3,Preditcted_Affected_Component_Uid4,"	Preditcted_Affected_Component5","	Preditcted_Utility_Drop6","	Preditcted_Rule7",Preditcted_Utility_Increase8,CycleID9,CycleSize10
3,CF3,_SE57PecdEeet0YmmfbMwkw,Reputation Service,269.6578243,HwRedeployComponent,269.6578243,14.2,17,3,CF1,_SE57J-cdEeet0YmmfbMwkw,Item Management Service,269.5055256,RestartComponent,269.5055256,14.2,17
4,CF1,_SE57SecdEeet0YmmfbMwkw,Last Second Sales Item Filter,267.0633999,RestartComponent,267.0633999,14.2,17,4,CF1,_SE57SecdEeet0YmmfbMwkw,Last Second Sales Item Filter,267.0633999,RestartComponent,267.0633999,14.2,17
5,CF3,_SE7ItecdEeet0YmmfbMwkw,Persistence Service,259.4876312,HwRedeployComponent,259.4876312,14.2,17,5,CF3,_SE7ItecdEeet0YmmfbMwkw,Persistence Service,259.4876312,HwRedeployComponent,259.4876312,14.2,17
6,CF1,_SE7ImecdEeet0YmmfbMwkw,Item Management Service,247.3287536,RestartComponent,247.3287536,14.2,17,6,CF1,_SE7ImecdEeet0YmmfbMwkw,Item Management Service,247.3287536,RestartComponent,247.3287536,14.2,17
7,CF2,_SE6hd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,212.0754457,RestartComponent,212.0754457,14.2,17,7,CF2,_SE6hd-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,212.0754457,RestartComponent,212.0754457,14.2,17
8,CF2,_SE7vpecdEeet0YmmfbMwkw,Comment Item Filter,168.1192715,RestartComponent,168.1192715,14.2,17,8,CF2,_SE7vpecdEeet0YmmfbMwkw,Comment Item Filter,168.1192715,RestartComponent,168.1192715,14.2,17
9,CF1,_SE7IwecdEeet0YmmfbMwkw,Past Sales Item Filter,116.3454164,RestartComponent,116.3454164,14.2,17,9,CF1,_SE7IwecdEeet0YmmfbMwkw,Past Sales Item Filter,116.3454164,RestartComponent,116.3454164,14.2,17
10,CF1,_SE7wJecdEeet0YmmfbMwkw,Last Second Sales Item Filter,85.83639658,RestartComponent,85.83639658,14.2,17,10,CF1,_SE7wA-cdEeet0YmmfbMwkw,Item Management Service,89.50538789,RestartComponent,89.50538789,14.2,17
11,CF1,_SE7wA-cdEeet0YmmfbMwkw,Item Management Service,89.50538789,RestartComponent,89.50538789,14.2,17,11,CF1,_SE7wJecdEeet0YmmfbMwkw,Last Second Sales Item Filter,85.83639658,RestartComponent,85.83639658,14.2,17
12,CF3,_SE7wGecdEeet0YmmfbMwkw,Reputation Service,85.06436996,HwRedeployComponent,85.06436996,14.2,17,12,CF3,_SE7wGecdEeet0YmmfbMwkw,Reputation Service,85.06436996,HwRedeployComponent,85.06436996,14.2,17
13,CF2,_SE7wP-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,67.23325995,RestartComponent,67.23325995,14.2,17,13,CF2,_SE7wP-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,67.23325995,RestartComponent,67.23325995,14.2,17
14,CF2,_SE6iF-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,5.654083585,RestartComponent,5.654083585,14.2,17,14,CF1,_SE6h_ecdEeet0YmmfbMwkw,Last Second Sales Item Filter,7.760711894,RestartComponent,7.760711894,14.2,17
15,CF1,_SE6h_ecdEeet0YmmfbMwkw,Last Second Sales Item Filter,7.760711894,RestartComponent,7.760711894,14.2,17,15,CF3,_SE6h8ecdEeet0YmmfbMwkw,Reputation Service,7.205817712,HwRedeployComponent,7.205817712,14.2,17
16,CF1,_SE6h2-cdEeet0YmmfbMwkw,Item Management Service,5.682745658,RestartComponent,5.682745658,14.2,17,16,CF1,_SE6h2-cdEeet0YmmfbMwkw,Item Management Service,5.682745658,RestartComponent,5.682745658,14.2,17
17,CF3,_SE6h8ecdEeet0YmmfbMwkw,Reputation Service,7.205817712,HwRedeployComponent,7.205817712,14.2,17,17,CF2,_SE6iF-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,5.654083585,RestartComponent,5.654083585,14.2,17
1,CF1,_SE8W3ecdEeet0YmmfbMwkw,Item Management Service,286.1382313,RestartComponent,286.1382313,15.2,12,1,CF1,_SE8W3ecdEeet0YmmfbMwkw,Item Management Service,286.1382313,RestartComponent,286.1382313,15.2,12
2,CF1,_SE8W-ecdEeet0YmmfbMwkw,Persistence Service,250.8198892,RestartComponent,250.8198892,15.2,12,2,CF1,_SE8W-ecdEeet0YmmfbMwkw,Persistence Service,250.8198892,RestartComponent,250.8198892,15.2,12
3,CF2,_SE8XH-cdEeet0YmmfbMwkw,Comment Item Filter,197.2057964,RestartComponent,197.2057964,15.2,12,3,CF2,_SE8XH-cdEeet0YmmfbMwkw,Comment Item Filter,197.2057964,RestartComponent,197.2057964,15.2,12
4,CF1,_SE8XBecdEeet0YmmfbMwkw,Past Sales Item Filter,138.5709639,RestartComponent,138.5709639,15.2,12,4,CF1,_SE8XBecdEeet0YmmfbMwkw,Past Sales Item Filter,138.5709639,RestartComponent,138.5709639,15.2,12
5,CF1,_SE8XfecdEeet0YmmfbMwkw,Item Management Service,128.9758237,RestartComponent,128.9758237,15.2,12,5,CF1,_SE8XfecdEeet0YmmfbMwkw,Item Management Service,128.9758237,RestartComponent,128.9758237,15.2,12
6,CF1,_SE8Xn-cdEeet0YmmfbMwkw,Last Second Sales Item Filter,128.7846842,RestartComponent,128.7846842,15.2,12,6,CF1,_SE8Xn-cdEeet0YmmfbMwkw,Last Second Sales Item Filter,128.7846842,RestartComponent,128.7846842,15.2,12
7,CF1,_SE8Xk-cdEeet0YmmfbMwkw,Reputation Service,128.0273396,RestartComponent,128.0273396,15.2,12,7,CF1,_SE8Xk-cdEeet0YmmfbMwkw,Reputation Service,128.0273396,RestartComponent,128.0273396,15.2,12
8,CF2,_SE89uecdEeet0YmmfbMwkw,Seller Reputation Item Filter,100.277819,RestartComponent,100.277819,15.2,12,8,CF2,_SE89uecdEeet0YmmfbMwkw,Seller Reputation Item Filter,100.277819,RestartComponent,100.277819,15.2,12
9,CF1,_SE8-P-cdEeet0YmmfbMwkw,Last Second Sales Item Filter,69.20539095,RestartComponent,69.20539095,15.2,12,9,CF1,_SE8-P-cdEeet0YmmfbMwkw,Last Second Sales Item Filter,69.20539095,RestartComponent,69.20539095,15.2,12
10,CF1,_SE8-M-cdEeet0YmmfbMwkw,Reputation Service,67.66730963,RestartComponent,67.66730963,15.2,12,10,CF1,_SE8-M-cdEeet0YmmfbMwkw,Reputation Service,67.66730963,RestartComponent,67.66730963,15.2,12
11,CF1,_SE8-HecdEeet0YmmfbMwkw,Item Management Service,65.82750035,RestartComponent,65.82750035,15.2,12,11,CF1,_SE8-HecdEeet0YmmfbMwkw,Item Management Service,65.82750035,RestartComponent,65.82750035,15.2,12
12,CF2,_SE8-WecdEeet0YmmfbMwkw,Seller Reputation Item Filter,50.62511977,RestartComponent,50.62511977,15.2,12,12,CF2,_SE8-WecdEeet0YmmfbMwkw,Seller Reputation Item Filter,50.62511977,RestartComponent,50.62511977,15.2,12
1,CF1,_SE9lYOcdEeet0YmmfbMwkw,Item Management Service,288.4933418,RestartComponent,288.4933418,16.2,40,1,CF1,_SE9lYOcdEeet0YmmfbMwkw,Item Management Service,288.4933418,RestartComponent,288.4933418,16.2,40
2,CF3,_SE9lducdEeet0YmmfbMwkw,Reputation Service,287.9877703,HwRedeployComponent,287.9877703,16.2,40,2,CF3,_SE9lducdEeet0YmmfbMwkw,Reputation Service,287.9877703,HwRedeployComponent,287.9877703,16.2,40
3,CF1,_SE9lgucdEeet0YmmfbMwkw,Last Second Sales Item Filter,286.3123562,RestartComponent,286.3123562,16.2,40,3,CF1,_SE9lgucdEeet0YmmfbMwkw,Last Second Sales Item Filter,286.3123562,RestartComponent,286.3123562,16.2,40
4,CF1,_SFACAucdEeet0YmmfbMwkw,Item Management Service,268.5784523,RestartComponent,268.5784523,16.2,40,4,CF3,_SFACGOcdEeet0YmmfbMwkw,Reputation Service,269.9376338,HwRedeployComponent,269.9376338,16.2,40
5,CF3,_SFACGOcdEeet0YmmfbMwkw,Reputation Service,269.9376338,HwRedeployComponent,269.9376338,16.2,40,5,CF1,_SFACAucdEeet0YmmfbMwkw,Item Management Service,268.5784523,RestartComponent,268.5784523,16.2,40
6,CF1,_SFACJOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,265.6899933,RestartComponent,265.6899933,16.2,40,6,CF1,_SFACJOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,265.6899933,RestartComponent,265.6899933,16.2,40
7,CF1,_SE_bAOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,246.0210737,RestartComponent,246.0210737,16.2,40,7,CF3,_SE_a9OcdEeet0YmmfbMwkw,Reputation Service,249.5097352,HwRedeployComponent,249.5097352,16.2,40
8,CF3,_SE_a9OcdEeet0YmmfbMwkw,Reputation Service,249.5097352,HwRedeployComponent,249.5097352,16.2,40,8,CF1,_SE_bAOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,246.0210737,RestartComponent,246.0210737,16.2,40
9,CF1,_SE_a3ucdEeet0YmmfbMwkw,Item Management Service,245.3708435,RestartComponent,245.3708435,16.2,40,9,CF1,_SE_a3ucdEeet0YmmfbMwkw,Item Management Service,245.3708435,RestartComponent,245.3708435,16.2,40
10,CF1,_SFABYucdEeet0YmmfbMwkw,Item Management Service,228.1975591,RestartComponent,228.1975591,16.2,40,10,CF1,_SFABhOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,229.0767546,RestartComponent,229.0767546,16.2,40
11,CF1,_SE_aPucdEeet0YmmfbMwkw,Item Management Service,229.0493379,RestartComponent,229.0493379,16.2,40,11,CF1,_SE_aPucdEeet0YmmfbMwkw,Item Management Service,229.0493379,RestartComponent,229.0493379,16.2,40
12,CF3,_SFABeOcdEeet0YmmfbMwkw,Reputation Service,227.9847142,HwRedeployComponent,227.9847142,16.2,40,12,CF1,_SE_aYOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,228.8968253,RestartComponent,228.8968253,16.2,40
13,CF3,_SE_aVOcdEeet0YmmfbMwkw,Reputation Service,225.6110592,HwRedeployComponent,225.6110592,16.2,40,13,CF1,_SFABYucdEeet0YmmfbMwkw,Item Management Service,228.1975591,RestartComponent,228.1975591,16.2,40
14,CF2,_SE9lnOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,227.8773522,RestartComponent,227.8773522,16.2,40,14,CF3,_SFABeOcdEeet0YmmfbMwkw,Reputation Service,227.9847142,HwRedeployComponent,227.9847142,16.2,40
15,CF1,_SE_aYOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,228.8968253,RestartComponent,228.8968253,16.2,40,15,CF2,_SE9lnOcdEeet0YmmfbMwkw,Seller Reputation Item Filter,227.8773522,RestartComponent,227.8773522,16.2,40
16,CF1,_SFABhOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,229.0767546,RestartComponent,229.0767546,16.2,40,16,CF3,_SE_aVOcdEeet0YmmfbMwkw,Reputation Service,225.6110592,HwRedeployComponent,225.6110592,16.2,40
17,CF2,_SFACPucdEeet0YmmfbMwkw,Seller Reputation Item Filter,213.2230385,RestartComponent,213.2230385,16.2,40,17,CF2,_SFACPucdEeet0YmmfbMwkw,Seller Reputation Item Filter,213.2230385,RestartComponent,213.2230385,16.2,40
18,CF2,_SE_bGucdEeet0YmmfbMwkw,Seller Reputation Item Filter,195.0279804,RestartComponent,195.0279804,16.2,40,18,CF2,_SE_bGucdEeet0YmmfbMwkw,Seller Reputation Item Filter,195.0279804,RestartComponent,195.0279804,16.2,40
19,CF2,_SE_aeucdEeet0YmmfbMwkw,Seller Reputation Item Filter,178.2244491,RestartComponent,178.2244491,16.2,40,19,CF2,_SFABnucdEeet0YmmfbMwkw,Seller Reputation Item Filter,178.3572361,RestartComponent,178.3572361,16.2,40
20,CF2,_SFABnucdEeet0YmmfbMwkw,Seller Reputation Item Filter,178.3572361,RestartComponent,178.3572361,16.2,40,20,CF2,_SE_aeucdEeet0YmmfbMwkw,Seller Reputation Item Filter,178.2244491,RestartComponent,178.2244491,16.2,40
21,CF1,_SE-L_ecdEeet0YmmfbMwkw,Last Second Sales Item Filter,167.4439128,RestartComponent,167.4439128,16.2,40,21,CF1,_SE-L2-cdEeet0YmmfbMwkw,Item Management Service,167.929743,RestartComponent,167.929743,16.2,40
22,CF3,_SE-L8ecdEeet0YmmfbMwkw,Reputation Service,165.3324966,HwRedeployComponent,165.3324966,16.2,40,22,CF1,_SE-L_ecdEeet0YmmfbMwkw,Last Second Sales Item Filter,167.4439128,RestartComponent,167.4439128,16.2,40
23,CF1,_SE-L2-cdEeet0YmmfbMwkw,Item Management Service,167.929743,RestartComponent,167.929743,16.2,40,23,CF3,_SE-L8ecdEeet0YmmfbMwkw,Reputation Service,165.3324966,HwRedeployComponent,165.3324966,16.2,40
24,CF3,_SE-zMOcdEeet0YmmfbMwkw,Reputation Service,147.1625144,HwRedeployComponent,147.1625144,16.2,40,24,CF1,_SE-zGucdEeet0YmmfbMwkw,Item Management Service,148.499615,RestartComponent,148.499615,16.2,40
25,CF1,_SE-zGucdEeet0YmmfbMwkw,Item Management Service,148.499615,RestartComponent,148.499615,16.2,40,25,CF1,_SE-zPOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,147.2504357,RestartComponent,147.2504357,16.2,40
26,CF1,_SE-zPOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,147.2504357,RestartComponent,147.2504357,16.2,40,26,CF3,_SE-zMOcdEeet0YmmfbMwkw,Reputation Service,147.1625144,HwRedeployComponent,147.1625144,16.2,40
27,CF2,_SE-MF-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,132.7188918,RestartComponent,132.7188918,16.2,40,27,CF2,_SE-MF-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,132.7188918,RestartComponent,132.7188918,16.2,40
28,CF2,_SE-zVucdEeet0YmmfbMwkw,Seller Reputation Item Filter,113.2026963,RestartComponent,113.2026963,16.2,40,28,CF2,_SE-zVucdEeet0YmmfbMwkw,Seller Reputation Item Filter,113.2026963,RestartComponent,113.2026963,16.2,40
29,CF1,_SE9kwOcdEeet0YmmfbMwkw,Item Management Service,108.2857654,RestartComponent,108.2857654,16.2,40,29,CF1,_SE-zuucdEeet0YmmfbMwkw,Item Management Service,109.1782641,RestartComponent,109.1782641,16.2,40
30,CF1,_SE-zuucdEeet0YmmfbMwkw,Item Management Service,109.1782641,RestartComponent,109.1782641,16.2,40,30,CF1,_SE9kwOcdEeet0YmmfbMwkw,Item Management Service,108.2857654,RestartComponent,108.2857654,16.2,40
31,CF1,_SE9k4ucdEeet0YmmfbMwkw,Last Second Sales Item Filter,105.5395887,RestartComponent,105.5395887,16.2,40,31,CF3,_SE-z0OcdEeet0YmmfbMwkw,Reputation Service,106.8744738,HwRedeployComponent,106.8744738,16.2,40
32,CF3,_SE-z0OcdEeet0YmmfbMwkw,Reputation Service,106.8744738,HwRedeployComponent,106.8744738,16.2,40,32,CF3,_SE9k1ucdEeet0YmmfbMwkw,Reputation Service,105.6289265,HwRedeployComponent,105.6289265,16.2,40
33,CF1,_SE-z3OcdEeet0YmmfbMwkw,Last Second Sales Item Filter,105.3755591,RestartComponent,105.3755591,16.2,40,33,CF1,_SE9k4ucdEeet0YmmfbMwkw,Last Second Sales Item Filter,105.5395887,RestartComponent,105.5395887,16.2,40
34,CF3,_SE9k1ucdEeet0YmmfbMwkw,Reputation Service,105.6289265,HwRedeployComponent,105.6289265,16.2,40,34,CF1,_SE-z3OcdEeet0YmmfbMwkw,Last Second Sales Item Filter,105.3755591,RestartComponent,105.3755591,16.2,40
35,CF2,_SE-z9ucdEeet0YmmfbMwkw,Seller Reputation Item Filter,82.69454308,RestartComponent,82.69454308,16.2,40,35,CF2,_SE-z9ucdEeet0YmmfbMwkw,Seller Reputation Item Filter,82.69454308,RestartComponent,82.69454308,16.2,40
36,CF2,_SE9k_OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,81.3182725,RestartComponent,81.3182725,16.2,40,36,CF2,_SE9k_OcdEeet0YmmfbMwkw,Seller Reputation Item Filter,81.3182725,RestartComponent,81.3182725,16.2,40
37,CF3,_SE-Ml-cdEeet0YmmfbMwkw,Persistence Service,70.65325271,HwRedeployComponent,70.65325271,16.2,40,37,CF3,_SE-Ml-cdEeet0YmmfbMwkw,Persistence Service,70.65325271,HwRedeployComponent,70.65325271,16.2,40
38,CF1,_SE-Me-cdEeet0YmmfbMwkw,Item Management Service,66.23546489,RestartComponent,66.23546489,16.2,40,38,CF1,_SE-Me-cdEeet0YmmfbMwkw,Item Management Service,66.23546489,RestartComponent,66.23546489,16.2,40
39,CF2,_SE-MvecdEeet0YmmfbMwkw,Comment Item Filter,42.57331701,RestartComponent,42.57331701,16.2,40,39,CF2,_SE-MvecdEeet0YmmfbMwkw,Comment Item Filter,42.57331701,RestartComponent,42.57331701,16.2,40
40,CF1,_SE-Mo-cdEeet0YmmfbMwkw,Past Sales Item Filter,26.52780712,RestartComponent,26.52780712,16.2,40,40,CF1,_SE-Mo-cdEeet0YmmfbMwkw,Past Sales Item Filter,26.52780712,RestartComponent,26.52780712,16.2,40
1,CF1,_SE8W7-cdEeet0YmmfbMwkw,Inventory Service,394.466999,RestartComponent,394.466999,17.2,9,1,CF1,_SE8W7-cdEeet0YmmfbMwkw,Inventory Service,394.466999,RestartComponent,394.466999,17.2,9
2,CF1,_SE7Iq-cdEeet0YmmfbMwkw,Inventory Service,337.1670248,RestartComponent,337.1670248,17.2,9,2,CF1,_SE7Iq-cdEeet0YmmfbMwkw,Inventory Service,337.1670248,RestartComponent,337.1670248,17.2,9
3,CF1,_SE7ImecdEeet0YmmfbMwkw,Item Management Service,247.3287536,RestartComponent,247.3287536,17.2,9,3,CF1,_SE7ImecdEeet0YmmfbMwkw,Item Management Service,247.3287536,RestartComponent,247.3287536,17.2,9
4,CF1,_SE8XCucdEeet0YmmfbMwkw,Buy Now Item Filter,225.8392483,RestartComponent,225.8392483,17.2,9,4,CF1,_SE8XCucdEeet0YmmfbMwkw,Buy Now Item Filter,225.8392483,RestartComponent,225.8392483,17.2,9
5,CF1,_SE7vtucdEeet0YmmfbMwkw,Future Sales Item Filter,171.2342754,RestartComponent,171.2342754,17.2,9,5,CF1,_SE7vtucdEeet0YmmfbMwkw,Future Sales Item Filter,171.2342754,RestartComponent,171.2342754,17.2,9
6,CF1,_SE8XJecdEeet0YmmfbMwkw,Category Item Filter,138.5410789,RestartComponent,138.5410789,17.2,9,6,CF1,_SE8XJecdEeet0YmmfbMwkw,Category Item Filter,138.5410789,RestartComponent,138.5410789,17.2,9
7,CF2,_SE7wH-cdEeet0YmmfbMwkw,Persistence Service,92.42216346,RestartComponent,92.42216346,17.2,9,7,CF2,_SE7wH-cdEeet0YmmfbMwkw,Persistence Service,92.42216346,RestartComponent,92.42216346,17.2,9
8,CF2,_SE7wA-cdEeet0YmmfbMwkw,Item Management Service,89.50538789,RestartComponent,89.50538789,17.2,9,8,CF2,_SE7wA-cdEeet0YmmfbMwkw,Item Management Service,89.50538789,RestartComponent,89.50538789,17.2,9
9,CF2,_SE7wNecdEeet0YmmfbMwkw,Availability Item Filter,67.74910361,RestartComponent,67.74910361,17.2,9,9,CF2,_SE7wNecdEeet0YmmfbMwkw,Availability Item Filter,67.74910361,RestartComponent,67.74910361,17.2,9
1,CF1,_SFB2iucdEeet0YmmfbMwkw,Item Management Service,269.2829712,RestartComponent,269.2829712,18.2,20,1,CF1,_SFB2iucdEeet0YmmfbMwkw,Item Management Service,269.2829712,RestartComponent,269.2829712,18.2,20
2,CF1,_SFB2oOcdEeet0YmmfbMwkw,Reputation Service,267.1020377,RestartComponent,267.1020377,18.2,20,2,CF1,_SFB2oOcdEeet0YmmfbMwkw,Reputation Service,267.1020377,RestartComponent,267.1020377,18.2,20
3,CF1,_SFB2rOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,265.8924612,RestartComponent,265.8924612,18.2,20,3,CF1,_SFB2rOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,265.8924612,RestartComponent,265.8924612,18.2,20
4,CF2,_SFB2xucdEeet0YmmfbMwkw,Seller Reputation Item Filter,211.9920932,RestartComponent,211.9920932,18.2,20,4,CF2,_SFB2xucdEeet0YmmfbMwkw,Seller Reputation Item Filter,211.9920932,RestartComponent,211.9920932,18.2,20
5,CF1,_SFApLecdEeet0YmmfbMwkw,Last Second Sales Item Filter,187.49413,RestartComponent,187.49413,18.2,20,5,CF1,_SFApC-cdEeet0YmmfbMwkw,Item Management Service,189.6034362,RestartComponent,189.6034362,18.2,20
6,CF1,_SFApIecdEeet0YmmfbMwkw,Reputation Service,188.8889892,RestartComponent,188.8889892,18.2,20,6,CF1,_SFApIecdEeet0YmmfbMwkw,Reputation Service,188.8889892,RestartComponent,188.8889892,18.2,20
7,CF1,_SFApC-cdEeet0YmmfbMwkw,Item Management Service,189.6034362,RestartComponent,189.6034362,18.2,20,7,CF1,_SFApLecdEeet0YmmfbMwkw,Last Second Sales Item Filter,187.49413,RestartComponent,187.49413,18.2,20
8,CF2,_SFApR-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,146.4727881,RestartComponent,146.4727881,18.2,20,8,CF2,_SFApR-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,146.4727881,RestartComponent,146.4727881,18.2,20
9,CF1,_SFAojecdEeet0YmmfbMwkw,Last Second Sales Item Filter,89.4983843,RestartComponent,89.4983843,18.2,20,9,CF1,_SFAojecdEeet0YmmfbMwkw,Last Second Sales Item Filter,89.4983843,RestartComponent,89.4983843,18.2,20
10,CF1,_SFAogecdEeet0YmmfbMwkw,Reputation Service,86.67402931,RestartComponent,86.67402931,18.2,20,10,CF1,_SFAogecdEeet0YmmfbMwkw,Reputation Service,86.67402931,RestartComponent,86.67402931,18.2,20
11,CF1,_SFAoa-cdEeet0YmmfbMwkw,Item Management Service,85.11647313,RestartComponent,85.11647313,18.2,20,11,CF1,_SFAoa-cdEeet0YmmfbMwkw,Item Management Service,85.11647313,RestartComponent,85.11647313,18.2,20
12,CF2,_SFAop-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,69.3094291,RestartComponent,69.3094291,18.2,20,12,CF2,_SFAop-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,69.3094291,RestartComponent,69.3094291,18.2,20
13,CF1,_SFB3KucdEeet0YmmfbMwkw,Item Management Service,45.69529732,RestartComponent,45.69529732,18.2,20,13,CF1,_SFB3QOcdEeet0YmmfbMwkw,Reputation Service,46.67297934,RestartComponent,46.67297934,18.2,20
14,CF1,_SFB3QOcdEeet0YmmfbMwkw,Reputation Service,46.67297934,RestartComponent,46.67297934,18.2,20,14,CF1,_SFB3TOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,46.09275383,RestartComponent,46.09275383,18.2,20
15,CF1,_SFB3TOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,46.09275383,RestartComponent,46.09275383,18.2,20,15,CF1,_SFB3KucdEeet0YmmfbMwkw,Item Management Service,45.69529732,RestartComponent,45.69529732,18.2,20
16,CF2,_SFB3ZucdEeet0YmmfbMwkw,Seller Reputation Item Filter,36.27918242,RestartComponent,36.27918242,18.2,20,16,CF2,_SFB3ZucdEeet0YmmfbMwkw,Seller Reputation Item Filter,36.27918242,RestartComponent,36.27918242,18.2,20
17,CF1,_SFBPaucdEeet0YmmfbMwkw,Item Management Service,29.865473,RestartComponent,29.865473,18.2,20,17,CF1,_SFBPaucdEeet0YmmfbMwkw,Item Management Service,29.865473,RestartComponent,29.865473,18.2,20
18,CF1,_SFBPgOcdEeet0YmmfbMwkw,Reputation Service,29.65284005,RestartComponent,29.65284005,18.2,20,18,CF1,_SFBPgOcdEeet0YmmfbMwkw,Reputation Service,29.65284005,RestartComponent,29.65284005,18.2,20
19,CF1,_SFBPjOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,27.0231304,RestartComponent,27.0231304,18.2,20,19,CF1,_SFBPjOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,27.0231304,RestartComponent,27.0231304,18.2,20
20,CF2,_SFBPpucdEeet0YmmfbMwkw,Seller Reputation Item Filter,20.53013645,RestartComponent,20.53013645,18.2,20,20,CF2,_SFBPpucdEeet0YmmfbMwkw,Seller Reputation Item Filter,20.53013645,RestartComponent,20.53013645,18.2,20
1,CF1,_SFGvW-cdEeet0YmmfbMwkw,Item Management Service,285.5608281,RestartComponent,285.5608281,19.2,90,1,CF1,_SFGvfecdEeet0YmmfbMwkw,Last Second Sales Item Filter,286.4500868,RestartComponent,286.4500868,19.2,90
2,CF1,_SFGvfecdEeet0YmmfbMwkw,Last Second Sales Item Filter,286.4500868,RestartComponent,286.4500868,19.2,90,2,CF3,_SFGvcecdEeet0YmmfbMwkw,Reputation Service,286.2596115,HwRedeployComponent,286.2596115,19.2,90
3,CF3,_SFGvcecdEeet0YmmfbMwkw,Reputation Service,286.2596115,HwRedeployComponent,286.2596115,19.2,90,3,CF1,_SFGvW-cdEeet0YmmfbMwkw,Item Management Service,285.5608281,RestartComponent,285.5608281,19.2,90
4,CF3,_SFGIqOcdEeet0YmmfbMwkw,Reputation Service,268.1706871,HwRedeployComponent,268.1706871,19.2,90,4,CF3,_SFGIqOcdEeet0YmmfbMwkw,Reputation Service,268.1706871,HwRedeployComponent,268.1706871,19.2,90
5,CF1,_SFGIkucdEeet0YmmfbMwkw,Item Management Service,267.8960963,RestartComponent,267.8960963,19.2,90,5,CF1,_SFGIkucdEeet0YmmfbMwkw,Item Management Service,267.8960963,RestartComponent,267.8960963,19.2,90
6,CF1,_SFGItOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,267.499151,RestartComponent,267.499151,19.2,90,6,CF1,_SFGItOcdEeet0YmmfbMwkw,Last Second Sales Item Filter,267.499151,RestartComponent,267.499151,19.2,90
7,CF2,_SFGvqecdEeet0YmmfbMwkw,Recommendation Item Filter,259.397525,RestartComponent,259.397525,19.2,90,7,CF2,_SFGvqecdEeet0YmmfbMwkw,Recommendation Item Filter,259.397525,RestartComponent,259.397525,19.2,90
8,CF1,_SFE58ucdEeet0YmmfbMwkw,Last Second Sales Item Filter,245.3624889,RestartComponent,245.3624889,19.2,90,8,CF3,_SFE55ucdEeet0YmmfbMwkw,Reputation Service,249.8965114,HwRedeployComponent,249.8965114,19.2,90
9,CF3,_SFE55ucdEeet0YmmfbMwkw,Reputation Service,249.8965114,HwRedeployComponent,249.8965114,19.2,90,9,CF1,_SFE50OcdEeet0YmmfbMwkw,Item Management Service,248.8650864,RestartComponent,248.8650864,19.2,90
10,CF1,_SFE50OcdEeet0YmmfbMwkw,Item Management Service,248.8650864,RestartComponent,248.8650864,19.2,90,10,CF1,_SFE58ucdEeet0YmmfbMwkw,Last Second Sales Item Filter,245.3624889,RestartComponent,245.3624889,19.2,90
11,CF2,_SFGI4OcdEeet0YmmfbMwkw,Recommendation Item Filter,240.1127573,RestartComponent,240.1127573,19.2,90,11,CF2,_SFGI4OcdEeet0YmmfbMwkw,Recommendation Item Filter,240.1127573,RestartComponent,240.1127573,19.2,90
12,CF3,_SFDr1ecdEeet0YmmfbMwkw,Reputation Service,229.4713342,HwRedeployComponent,229.4713342,19.2,90,12,CF2,_SFGvl-cdEeet0YmmfbMwkw,Seller Reputation Item Filter,229.8181447,RestartComponent,229.8181447,19.2,90
